userName,score,content,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
Chiko Sagit,5,nice,0,5.34.2,2025-10-12 19:34:20,,
Ricky Dwihargo,5,mantap pertahankan,0,5.34.2,2025-10-12 19:32:21,,
Cin Me Tjong,5,Baik,0,5.35.1,2025-10-12 19:31:42,,
heri mustofa,5,sangat membantu,0,5.35.1,2025-10-12 19:31:26,,
armita sari,3,kenapa siih gojek makanan suka lama banget dapat drivernya ?? butuh waktu hampir 15 menit. dulu gak kek gitu deh paling 2 menit paling lamanya. kemaren pernah hampir 2 jam gak dapat driver. mau di batalin kagak bisa. tolong Doong gojek perbaiki lagi.,0,5.35.1,2025-10-12 19:31:25,"Hai Kak Armita, mohon maaf atas ketidaknyamanannya. Ke depannya, jika kamu mengalami hal serupa, klik 'Butuh Bantuan' pada halaman pemesanan, lalu pilih alasan pembatalan yang sesuai, ya. Pesananmu akan dicek terlebih dulu. Jika kamu memiliki pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek. ^Maura",2025-10-12 21:18:12
Zain Abduhu,2,"saya sore tadi ingin pesan gocar dri bandara ke kontrak kan saya, biasanya sangt gampang tinggal plih metode payment lalu cri driver, tpi tadi setelah plih metode payment saya dikasih kode berupa angka yang harus diberikan ke driver trus maksudnya saya diarahkan untuk cari driver sendiri dtitik jemputnya nya gitu? lah ngapain gw pake ni apk coy??? monmaap agak kecewa kali ini, bintangnya nanti saya tambah kalau sudah ada konfirmasi lbh lanjut",0,,2025-10-12 19:23:01,"Hai Kak Zain, mohon maaf ya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maura",2025-10-12 19:38:33
Susanto Basuki,5,mantap,0,5.35.1,2025-10-12 19:22:53,,
Mila Wati,3,"ya Allah kesel beli voucher gojek plus dapat 900 voucher gratis ongkir katanya tau tau minim 40rb terus apa gunanya Sampek beli focher ujung ujungnya pake minim benja juga ah ya ampun dah nyesel bnget, bayangin aja kalo beli makanan yg harganya 30rb ongkir 15rb matekk... itu gojek plus gunanya untuk apa mancing pelanggan uhh pengen misuh ya amppuuun",0,5.31.2,2025-10-12 19:22:15,"Hai Kak Mila, mohon maaf atas ketidaknyamanannya. Mengenai promo mengikuti syarat dan ketentuan yang berlaku. Apabila kamu mengalami kendala, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. Kami tunggu detail permasalahannya. ^Maura",2025-10-12 19:37:16
Radithia Henka mahesa,5,mantap,0,5.34.2,2025-10-12 19:21:37,,
M. Irfan Adi Saputra,5,Sangan Baik Dan Saangat Membantu,0,5.30.1,2025-10-12 19:21:25,,
Benjamin Ari Wibowo,1,aplikasi anjg,0,5.34.2,2025-10-12 19:20:09,,
Izaac Christy,3,kecewa min order gojek plus nya naik jd 40k 😔 auto unsub bulan depan,0,5.35.1,2025-10-12 19:16:31,"Hai Kak Izaac, mohon maaf atas ketidaknyamanannya. Mengenai promo mengikuti syarat dan ketentuan yang berlaku. Apabila kamu mengalami kendala, silakan laporkan melalui menu Bantuan di aplikasi GoPay agar tim kami bisa bantu cek ya. Kami tunggu detail permasalahannya. ^Melisa",2025-10-12 14:41:02
Muhammad Naradipa,1,aplikasinya ngelag parah mau order aja gabisa bikin kesel lain kali kalo bikin aplikasi diurus biar ngak ngelag parah,0,5.34.2,2025-10-12 19:15:30,"Hai Kak Muhammad, mohon maaf atas ketidaknyamanannya. Agar dapat dibantu lebih lanjut, silakan laporkan melalui menu Bantuan (pada menu Profil Saya) di aplikasi Gojek dengan mengetik ""Tidak dapat melakukan pemesanan"" pada kolom pencarian. Semoga informasi ini membantu kamu. ^Maura",2025-10-12 19:36:05
Rizqi Amirulloh,2,dh ngga kaya dlu,0,5.35.1,2025-10-12 19:02:12,,
Mecdly Mora Asella Seiko,1,"mahal, lama, chat customer gak ada!!!!lintah darat!!",0,5.34.2,2025-10-12 18:49:24,"Mohon maaf atas ketidaknyamanannya, Kak Mecdly. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Maura",2025-10-12 19:27:54
Siti Aminah,5,bagus,0,5.34.2,2025-10-12 18:32:16,,
Ahmad junaidi,5,"pelayanan ok2,cuma didaerah saya rada sepi drivernya",0,5.34.2,2025-10-12 18:23:12,,
Eliani Ainun,5,bgs sngt mmbntu,0,5.34.2,2025-10-12 18:11:27,,
Al Ghozali,5,fast respon,0,5.31.2,2025-10-12 18:09:29,,
Muhammad Sidik,1,gofood jarak dekat/slot asuuu...,0,5.33.1,2025-10-12 18:04:29,"Hai Kak Muhammad, terima kasih atas ulasannya dan mohon maaf untuk kendalanya. Laporan yang Anda sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika Anda memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek Driver App Anda. ^Maura",2025-10-12 18:39:00
Susi 3012,5,mantap,0,5.34.2,2025-10-12 18:02:27,,
Firman Fitri,5,mantap,0,5.35.1,2025-10-12 17:44:50,,
Indra Wastu,5,mantap,0,,2025-10-12 17:42:03,,
Adam Aljabar,5,good,0,5.33.1,2025-10-12 17:23:26,,
Annisa nr,1,"ORDERAN FOOD GUA MINUMANNYA TUMPAH. UDH DI KASI FOTO, DAN KETERANGAN. DARI NGOMONG BAIK2 SAMPE NGOMEL, TAPI DANANYA GA DI REFUND JUGA, DISELESAIKAN SECARA SEPIHAK TANPA ADA NYA REFUND. PERHARI INI GUA GAKAN PERNAH LAGI PAKE GOJEK ANJG!",0,5.35.1,2025-10-12 17:14:16,"Hai Kak Annisa, mohon maaf atas ketidaknyamanannya. Jika kamu masih mengalami kendala, silakan laporkan melalui email ke customerservice@gojek.com dengan melampirkan kode psr-25-285-1125-25685 pada subject email dan cantumkan nomor laporan kamu sebelumnya pada email yang kamu kirimkan. Kami tunggu detail laporan kamu ya. ^Maura",2025-10-12 18:25:33
Totok Bonek,5,pelayanannya mantab,0,5.34.2,2025-10-12 17:06:39,,
Bambang Haryadi,5,cepat dan ramah drivernya,0,,2025-10-12 16:58:52,,
Sarah Adelia,5,ok,0,5.34.2,2025-10-12 16:52:12,,
papa abbyan,5,thanks gojek,0,5.34.2,2025-10-12 16:49:16,,
Kang Faisal,5,nyaman,0,5.34.2,2025-10-12 16:41:51,,
devi diah,5,Good,0,5.34.2,2025-10-12 16:30:41,,
Heri Kobes123,1,"gopay dan gojek sangat buruk.,.. jika kita mengalami masalah pada akun atau nomor hilang 100% akun tersebut sudah tidak dapat di pulihkan saya sudah mencoba berbagai cara,...",0,,2025-10-12 16:30:10,"Hai Kak Heri, mohon maaf atas ketidaknyamanannya. Jika kamu masih mengalami kendala, silakan laporkan melalui email ke customerservice@gojek.com dengan melampirkan kode psr-25-285-1007-49529 pada subject email dan cantumkan nomor laporan kamu sebelumnya pada email yang kamu kirimkan. Kami tunggu detail laporan kamu ya. ^Maura",2025-10-12 17:07:56
yeti sumiati,5,baik,0,5.27.2,2025-10-12 16:25:17,,
Ahmad khosnen Khosnen,5,drivernya ramah,0,5.30.1,2025-10-12 16:01:00,,
Linda Waty,5,"gocar oaling ok lah, yuk pesan terus",0,5.35.1,2025-10-12 15:59:27,,
Vita Yulianti,2,"hiks, langganan plus di tokopedia hanya dpt diskon 5%. Langganan plus 90 hr di gojek, ngga dapat diskon makanan di gofood, hanya diskon ongkir. 😞. Tau gitu, engga langganan",0,5.28.2,2025-10-12 15:58:32,"Hai Kak Vita, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Ve",2024-03-12 15:34:39
leo matheus,5,mantap gojek,0,5.35.1,2025-10-12 15:36:04,,
Muhammad Yazid Al-Ghazali,5,👍🏼,0,5.32.1,2025-10-12 15:13:05,,
Fidelia Chatrine,5,cinta banget sama ni apk saranghaee gojek 🤭🫰🏻,0,5.35.1,2025-10-12 15:10:43,,
Afandi Fandi,5,Baik,0,5.35.1,2025-10-12 15:04:26,,
Ade Saripah,1,deraiper yah judes terus di batalin malah minta ganti rugi,1,5.35.1,2025-10-12 14:34:28,"Hai Kak Ade, mohon maaf atas ketidaknyamanannya. Jika kamu yakin bahwa driver meminta pembayaran lebih di luar harga akhir, laporkan melalui halaman Bantuan (pada menu Profil Saya) di aplikasi Gojek > ketik ""Driver saya meminta pembayaran lebih"" pada kolom pencarian. Semoga informasi ini membantu ya. ^Melisa",2025-10-12 15:12:49
Akira Rozzi,5,mantap dah sat set,0,5.34.2,2025-10-12 14:08:15,,
Siska Supriyanti,5,oke,0,5.34.2,2025-10-12 14:06:34,,
Toni Toni,5,terimakasih,0,5.32.1,2025-10-12 14:04:38,,
Dimas Kris,5,Mantaap,0,4.65.2,2025-10-12 13:52:09,,
Wawan Herawan,5,mantapppp,0,5.28.2,2025-10-12 13:43:19,,
bintangaja 77,5,aman,0,,2025-10-12 13:40:59,,
Noval Ramadhan,5,sangat rekomendasi,0,5.35.1,2025-10-12 13:29:37,,
Wenny Arianti,5,good,0,5.29.2,2025-10-12 13:19:11,,
TER news,5,good,0,,2025-10-12 12:59:58,,
Bima Sakti,3,"gara gara ada pengiriman exspres, sekarang nyari driver jd susah karna mendahulukan yang exspres, sering orderan gagal karna gak dapet driver jadi menyulit kan saja.",1,5.33.1,2025-10-12 12:38:51,"Mohon maaf atas kendalanya, Kak Bima. Kesulitan mendapatkan driver bisa terjadi karena tingginya permintaan saat jam sibuk atau tidak ada driver di sekitar. Silakan tunggu dan coba kembali. Untuk info lebih lanjut, kunjungi menu Bantuan dan cari artikel ""Saya tidak mendapatkan driver"". ^Melisa",2025-10-12 15:11:04
Gavin azarya,5,🫰🏼,0,5.17.1,2025-10-12 12:37:47,,
Budhi Soesanto,5,ok,0,5.34.2,2025-10-12 12:24:33,,
Albertus Yan,5,sungguh amat membantu,0,5.34.2,2025-10-12 12:14:06,,
Mulyanto Yanto,5,suka,0,5.6.1,2025-10-12 12:12:42,,
zepri ca,1,"Aplikasi jelek, saya mau ke pasar delapan alam sutera kec. serpong di google map tapi di map gojek alamatnya malah kec. cipondoh, saya jadi double pemesanannya, gua benci aplikasi ini. HARUSNYA NAMA DI GOOGLE MAP DENGAN NAMA DI MAP GOJEK SAMAKAN, SAMAKAN JUGA ALAMATNYA BODOH. TIDAK SEMUA ORANG YANG PAKAI APLIKASI INI BERASAL DARI TANGERANG ATAU JAKARTA",2,,2025-10-12 12:12:30,"Hai, Kak Zepri. Pastikan kamu sudah memberikan izin akses lokasi untuk aplikasi Gojek dan update ke versi terbaru, ya. Jika titik jemput masih bermasalah, laporkan melalui halaman Bantuan di aplikasi > ketik ""Rute dari/menuju lokasi titik jemput/antar saya bermasalah"" > pilih artikel dan isi formulirnya. Kami siap membantu. ^Miko",2025-10-13 06:48:44
velisa selia,5,sangat memudahkan dalam menuju perjalanan,0,5.35.1,2025-10-12 12:11:11,,
Lilovbe 24,5,Oke,0,,2025-10-12 12:05:46,,
Ardi Anto,4,baik,0,5.34.2,2025-10-12 11:38:43,,
Frans Immanuel,1,"untuk ongkir go food yang hemat jangan dihilangin lah , pakai yang regular sama hemat sama aja malah kadang lebih lama datangnya lawakzz",1,5.29.2,2025-10-12 11:31:22,"Hai Kak Frans, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Saya menunggu pengiriman terlalu lama"" pada kolom pencarian ya. ^Melisa",2025-10-12 15:09:23
tutik annisa,3,driver sering ghosting. engga mau anter tapi diem aja engga ada info. engga mau cancel juga.,1,5.34.2,2025-10-12 11:20:15,"Hai Kak Annisa, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Melisa",2025-10-12 15:07:55
Dina Dwi Octavia,2,"skrng gojek emang ngelag banget ya kalo bru mau di buka, pdlhan bru aja di update dan jaringan juga baguss tapi dilayar selalu lelet pergerakannya",1,5.35.1,2025-10-12 10:54:38,"Hai Kak Dina, mohon maaf atas ketidaknyamanannya. Pastikan kamu sudah menggunakan aplikasi Gojek versi terbaru, ya. Jika masih berkendala, silakan laporkan melalui halaman Bantuan > ketik ""Kendala tampilan dan notifikasi"" di kolom pencarian > pilih artikel dan lengkapi formulirnya. Kami siap membantu. ^Melisa",2025-10-12 15:06:40
Alam Syah,5,ok lah,0,5.35.1,2025-10-12 10:37:30,,
Dewingsih Dewii,5,bagusss bgt,0,5.35.1,2025-10-12 10:26:59,,
oono yon,2,lagi main game suka berhenti sendiri!!!,1,5.34.2,2025-10-12 10:23:46,,
Muchlisin Denny P.,1,TELAT GOPAY LATER BUNGANYA GEDE GES AWAL BUNGA 50 TAMBAH 5 HARI BUNGA 30,1,,2025-10-12 10:11:12,"Hai Kak Muchlisin, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika yang kamu maksudkan terkait GoPay Later dan memiliki pertanyaan lainnya, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id. ^Melisa",2025-10-12 15:03:06
Agus Suhariyanto,4,Alhamdulillah slm ini g pnh ada mslh lancar2 aza pk Gojek.,0,5.34.2,2025-10-12 09:45:46,,
Nauli Ulos,5,sangat membantu sekali,0,5.33.1,2025-10-12 09:21:51,,
SANI SARI,5,kasihh aku harga murah ya,0,5.34.2,2025-10-12 09:16:20,,
Novi Mpita,5,tarif termurah 2rb gocar hebat lah bikin sensara para mitra kecekek,0,,2025-10-12 09:14:38,,
Neptunus 1717,3,untuk layanan gocar coba d perhatikan.. booking gocar stlah dpt susah menghubungi drivernya. bisa atau tidaknya mengantar. sudah menunggu lama. tau2 d cancel..,1,,2025-10-12 09:02:05,"Hai Kak @Neptunus 1717, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver membatalkan pesanan saya"" pada kolom pencarian ya. ^Melisa",2025-10-12 14:39:23
Ali1986 Ali,5,Jadi pake aplikasi ini sangat bermanfaat bagi yang mls keluar rumah,0,,2025-10-12 08:22:58,,
Raihan putra as syauqi,2,"untuk penggunaan aplikasi sudah sangat bagus, tapi kok harga go ride nya mahal² ya padahal udah sering order disini",1,5.34.2,2025-10-12 08:22:24,"Mohon maaf atas ketidaknyamanannya, Kak Raihan. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Melisa",2025-10-12 14:37:01
Ahan Galing,4,Seharusnya semua driver diberikan batas waktu paling lama 3 menit harus bergerak setelah menerima orderan,0,5.34.2,2025-10-12 08:11:34,,
Vano Rahman,5,kak mau upgrade gojek,0,5.35.1,2025-10-12 07:30:03,,
Siska Sinaga,5,good,0,5.34.2,2025-10-12 07:26:28,,
Muhamad Fahri Ramadhan,5,aku jadi lebih gampang klo mau kemana-mana tinggal memesan gojek aja udah udah nyampe tujuan aja yg kita mau. pokoknya the best deh gojeknya🤍‼️,0,5.34.2,2025-10-12 07:14:53,,
Agustina Indah mustikasari,5,aplikasi nya cepat,0,5.34.2,2025-10-12 07:09:32,,
Muhammad Naufal Haidar Aziz,5,"kerennn, yang ditingkatkan hanya untuk goride/gocar. ada beberapa daerah yang sering ditolak oleh driver, dibantu untuk pemecahannya yaa admin🙏🏻",0,5.34.2,2025-10-12 07:06:42,,
Rizhki Haerul Usman,5,ok k,0,5.34.2,2025-10-12 06:41:02,,
Lio Bahri,5,Baru Coba,0,,2025-10-12 06:39:41,,
pak RO bienOfficel,3,sikap dan mental driver kurang yakin,1,5.32.1,2025-10-12 06:37:15,,
ENTREPRENEUR VISTA,3,"Maaf, skrng Saya kasih ⭐ 3. Saya pelanggan Go Jek sejak lama. Sayng skrng dikenakan biaya jasa aplikasi, terutma jika pesan go food. Biaya jasa aplikasi skrg mahal bgt, bisa lebih dari Rp 3rb, utk resto tertentu juga ada tambhan biaya bungks.😞 Sedangkan utk setiap order go food, perusahaan uda dapt keuntungan dari selisih harga dari resto yg tertera di aplikasi dan potongan ONGKIR Driver.",39,5.5.1,2025-10-12 06:31:22,"Hai, mohon maaf atas ketidaknyamanannya, fokus GoFood secara keseluruhan adalah untuk terus memberikan pengalaman kuliner terbaik bagi pelanggan. Oleh karena itu, kami menerapkan Biaya Pemesanan dan Biaya Jasa GoFood agar kami terus dapat meningkatkan kualitas layanan kepada pengguna aplikasi, termasuk pengembangan teknologi. ^Agum",2022-02-17 12:06:46
Abdul Jalil,5,ok,0,5.34.2,2025-10-12 06:26:16,,
Zack Chaesar,5,spam double w in the chatt :3,0,5.14.2,2025-10-12 06:19:32,,
Ariefrachman,5,Good👍👍👍,0,,2025-10-12 06:12:59,,
Asmui Sabilah pulo,5,oke mantap,0,5.32.1,2025-10-12 05:31:12,,
Dewi Azura,1,gojek jangan mahal mahal lah tarifnya gojek terlalu mahal banget warga pada ngeluh nih harganya mahal kasian jadinya.,5,5.34.2,2025-10-12 05:30:27,"Mohon maaf atas ketidaknyamanannya, Kak Dewi. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Maura",2025-07-01 16:32:15
Ahmad Solihin,5,BAGUS 👍,0,5.33.1,2025-10-12 05:10:57,,
R_A_BETT winda suherman,1,paylater masih aja di blokir. mau sampai kapan di blokir nya. gw hapus juga nih aplikasi.,1,4.47.1,2025-10-12 05:07:20,"Hai Kak Winda, mohon maaf atas kendala yang kamu alami terkait GoPay Later. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id dan cantumkan kode psr-25-285-0735-06926 di subjek email, ya. ^Melisa",2025-10-12 14:35:14
Siti Lobo,5,"baik ,ramah penemudinya",0,5.18.2,2025-10-12 04:39:26,,
Entong Jabrieg,1,aneh aja ini aplikasi perasaan gua GK pernah macem² ngapa malah akun gua di bekukan 🙃,1,5.35.1,2025-10-12 04:17:29,"Hai Kak Entong, mohon maaf atas ketidaknyamannya. Untuk bantu pengecekan akun yang dibekukan, silakan masuk ke aplikasi Gojek lalu ke Profil > Bantuan > Masalah dengan Akun Saya > ""Akun saya dibekukan"" > isi formulir. Kami tunggu detail kendalanya ya.^Melisa",2025-10-12 14:33:32
Destiar eko Yanuarso,5,mantaaap,0,5.35.1,2025-10-12 03:25:30,,
Reski Ruminsyah,5,ok,0,5.34.2,2025-10-12 03:00:11,,
Gema Raharja,5,mantap sangat membantu perjalanan saya,0,5.35.1,2025-10-12 02:52:19,,
Nurwakit Nurwakit,5,terima kasih mengatarkan saya dengan selamat sampai rumah.,0,5.33.1,2025-10-12 02:50:30,,
Yura Rambu purnama,5,good,0,5.34.2,2025-10-12 02:35:22,,
Devan Danur,5,sangat membantu,0,5.34.1,2025-10-12 02:10:13,,
Maell lee pardomuan,4,mantap,0,5.34.2,2025-10-12 01:17:05,,
Arif Kurniawan,5,the best driver gojek nye,0,,2025-10-12 01:08:29,,
"yatnoo A s, pd.",5,ok,0,5.34.2,2025-10-12 01:03:17,,
Merlyana,5,"Semoga Allah SWT selalu memberikan kemudahan untuk Gojek, Aamiin.",7,5.35.1,2025-10-12 00:35:57,,
Nadia Nazila,5,sangat puas,0,,2025-10-12 00:28:04,,
Rizky Fachri,1,rating 1 bintang pun terlalu bagus untuk aplikasi ini. 1 jam lebih tidak menemukan driver 1 pun. luar biasa,1,5.34.2,2025-10-12 00:17:19,"Mohon maaf atas kendalanya, Kak Rizky. Kesulitan mendapatkan driver bisa terjadi karena tingginya permintaan saat jam sibuk atau tidak ada driver di sekitar. Silakan tunggu dan coba kembali. Untuk info lebih lanjut, kunjungi menu Bantuan dan cari artikel ""Saya tidak mendapatkan driver"". ^Melisa",2025-10-12 14:32:23
Daniel Farrel Gunawan,5,"aplikasi bagus, harga murah, merakyat",0,,2025-10-11 23:45:24,,
Nurarimah Putri25,1,lambat untuk driver makanan. nunggu sampe 2 uam gak jln menitan waktu keburu Aslam naik. cancel 3x gak ada yg beneh. sekian terima kasih sampe kambuh asam lambung saya,1,5.33.1,2025-10-11 23:34:28,"Mohon maaf atas kendalanya, Kak Nurarimah. Kesulitan mendapatkan driver bisa terjadi karena tingginya permintaan saat jam sibuk atau tidak ada driver di sekitar. Silakan tunggu dan coba kembali. Untuk info lebih lanjut, kunjungi menu Bantuan dan cari artikel ""Saya tidak mendapatkan driver"". ^Melisa",2025-10-12 06:30:15
Moh Suwito,5,terbaik pokonya di pengantaran bisa langsung via gopay sangat rekomend dech,0,5.33.1,2025-10-11 23:31:34,,
Fauzi Abdullah,3,sangat membantu di saat tidak mempunyai kendaraan selain angkutan umun.,0,5.34.2,2025-10-11 23:20:57,,
Titien Syam,5,Memuaskan,0,5.18.2,2025-10-11 23:10:35,,
Oky S.,1,Kadang cari driver sangat sulit jadi tolong diperbaiki lagi ya. Jadi aplikator jangan banyak errornya. PAHAM??!!,2,5.35.1,2025-10-11 23:08:36,"Mohon maaf atas kendalanya, Kak Oky. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2025-10-11 23:34:07
Mohammad anwar,5,mantap,0,5.34.2,2025-10-11 22:16:07,,
Yudisthira Putra,5,kelazz,0,5.34.2,2025-10-11 22:15:59,,
Sandi Ms,5,yaman dan mudah pake gojek,0,5.34.2,2025-10-11 22:13:50,,
NINA RIZKI AMELIA,5,oke dech💐 selalu update promo yah xixixi,0,,2025-10-11 22:06:40,,
Anah Hasanah,5,driver ramah dan tepat waktu,0,5.34.2,2025-10-11 21:58:34,,
Yahyall llliilDimas,4,oke,0,5.35.1,2025-10-11 21:50:43,,
